City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Stephenville,32.2207,-98.2023,77.34,62,1,13.8,US,1638736943
Nuuk,64.1835,-51.7216,24.26,65,100,26.4,GL,1638737431
Atuona,-9.8,-139.0333,78.69,73,6,18.61,PF,1638737432
Khatanga,71.9667,102.5,-16.62,96,100,9.55,RU,1638737432
Hobart,-42.8794,147.3294,58.26,63,40,3.0,AU,1638737432
Bengkulu,-3.8004,102.2655,74.88,90,95,7.47,ID,1638737432
Saint-Pierre,-21.3393,55.4781,76.68,77,20,5.75,RE,1638737432
Xinyu,27.8043,114.9334,47.14,60,0,1.28,CN,1638737145
New Norfolk,-42.7826,147.0587,57.92,60,63,3.65,AU,1638737432
Puerto Ayora,-0.7393,-90.3518,75.16,82,61,9.66,EC,1638737432
Bulgan,48.8125,103.5347,19.31,46,9,3.98,MN,1638737433
Ushuaia,-54.8,-68.3,46.06,71,75,31.07,AR,1638737433
Lorengau,-2.0226,147.2712,83.97,79,55,15.48,PG,1638737433
Kenora,49.8167,-94.4337,24.78,86,90,10.36,CA,1638737433
Pangnirtung,66.1451,-65.7125,17.6,93,90,17.27,CA,1638737433
Mabaruma,8.2,-59.7833,77.61,86,94,5.32,GY,1638737433
Lebu,-37.6167,-73.65,64.24,66,0,13.76,CL,1638737433
El Salvador,13.8333,-88.9167,86.4,42,1,1.57,SV,1638737434
Avarua,-21.2078,-159.775,80.65,89,40,5.75,CK,1638737434
Rikitea,-23.1203,-134.9692,76.15,74,98,8.23,PF,1638737434
Aklavik,68.2191,-135.0107,-12.17,69,20,2.3,CA,1638737434
Richards Bay,-28.783,32.0377,76.87,78,93,16.08,ZA,1638736951
Villazón,-22.0866,-65.5942,58.68,53,60,14.7,BO,1638737434
Ahipara,-35.1667,173.1667,72.28,74,51,9.84,NZ,1638737434
Talcahuano,-36.7167,-73.1167,82.08,34,0,10.36,CL,1638737434
Teknāf,20.8624,92.3058,74.03,86,87,5.3,BD,1638737435
Cape Town,-33.9258,18.4232,62.1,90,90,4.0,ZA,1638737402
Hasaki,35.7333,140.8333,43.29,64,100,12.95,JP,1638737435
Alofi,-19.0595,-169.9187,80.49,83,75,16.11,NU,1638737435
Lovozero,68.005,35.0117,4.26,67,47,10.92,RU,1638737435
Yellowknife,62.456,-114.3525,-14.58,82,20,4.61,CA,1638737435
Souillac,-20.5167,57.5167,79.18,73,40,11.5,MU,1638737435
Hilo,19.7297,-155.09,73.13,93,90,10.36,US,1638737435
Kapaa,22.0752,-159.319,78.12,71,1,4.0,US,1638737435
Punta Arenas,-53.15,-70.9167,55.51,44,20,24.16,CL,1638737321
Hithadhoo,-0.6,73.0833,81.1,79,100,13.69,MV,1638737436
Nanortalik,60.1432,-45.2371,27.0,88,93,34.07,GL,1638737436
Ovalle,-30.5983,-71.2003,82.71,31,9,8.75,CL,1638737143
Rome,43.2128,-75.4557,39.83,76,90,8.05,US,1638737423
Kavaratti,10.5669,72.642,80.85,73,47,11.5,IN,1638737436
Grand Gaube,-20.0064,57.6608,79.2,66,8,5.01,MU,1638737436
Castro,-24.7911,-50.0119,65.57,84,94,2.68,BR,1638737436
Ulaangom,49.9811,92.0667,6.13,80,100,4.59,MN,1638736933
Ancud,-41.8697,-73.8203,76.53,61,40,7.02,CL,1638737436
Pécel,47.4896,19.3416,35.49,93,90,9.22,HU,1638737436
Busselton,-33.65,115.3333,60.04,75,62,15.73,AU,1638737436
Ilulissat,69.2167,-51.1,25.41,76,100,7.43,GL,1638737437
Kamennogorsk,60.9545,29.1339,20.84,91,99,5.84,RU,1638737437
Luwuk,-0.9516,122.7875,76.89,92,100,5.21,ID,1638736957
Imbituba,-28.24,-48.6703,75.09,94,100,9.44,BR,1638737437
Sioux Lookout,50.1001,-91.917,23.38,86,90,2.3,CA,1638737437
Deputatsky,69.3,139.9,-23.78,97,100,2.75,RU,1638737437
Mataura,-46.1927,168.8643,52.48,59,98,4.43,NZ,1638737437
Belaya Gora,68.5333,146.4167,-32.4,95,100,1.1,RU,1638737437
Palu,-0.8917,119.8707,74.23,93,80,2.93,ID,1638737437
Port Blair,11.6667,92.75,78.22,74,14,10.02,IN,1638737438
Dikson,73.5069,80.5464,-0.63,94,100,8.84,RU,1638737438
Port Shepstone,-30.7414,30.455,73.69,92,100,4.83,ZA,1638736929
Marawi,7.9986,124.2928,63.64,96,100,1.5,PH,1638737438
Jamestown,42.097,-79.2353,42.53,50,90,8.99,US,1638737438
Rocha,-34.4833,-54.3333,64.56,93,91,8.16,UY,1638737438
Lagos,6.5833,3.75,84.52,82,79,5.37,NG,1638737334
Bethel,41.3712,-73.414,45.81,46,84,3.0,US,1638737164
Yumen,40.2833,97.2,25.66,50,21,20.42,CN,1638737438
Arraial do Cabo,-22.9661,-42.0278,80.56,78,20,17.27,BR,1638737161
